#boots	id	seq	opened_by	opened_at	opened_offset	bytes	closed_at
boot	566	566	session	1786907015408	5244519	0	1786907141061
boot	567	567	power	1786907141061	5244519	0	1786907141635
boot	568	568	session	1786907141635	5244519	2743	1786907183551
boot	569	569	mark	1786907183551	5247280	0	1786907200884
boot	570	570	power	1786907200884	5247280	20624	1786908096831
#lines	id	boot_id	ts_wall	stream_offset	terminator	text
line	112093	568	1786907151463	5244519	crlf	
line	112094	568	1786907151463	5244521	crlf	Format: Log Type - Time(microsec) - Message - Optional Info
line	112095	568	1786907151504	5244584	crlf	Log Type: B - Since Boot(Power On Reset),  D - Delta,  S - Statistic
line	112096	568	1786907151504	5244654	crlf	S - QC_IMAGE_VERSION_STRING=BOOT.XF.4.1.4-00004-KAMORTALAZ-3
line	112097	568	1786907151504	5244716	crlf	S - IMAGE_VARIANT_STRING=AgattiPkgLAA
line	112098	568	1786907151504	5244755	crlf	S - OEM_IMAGE_VERSION_STRING=crm-ubuntu02
line	112099	568	1786907151504	5244798	crlf	S - Boot Interface: USB
line	112100	568	1786907151504	5244823	crlf	S - Secure Boot: Off
line	112101	568	1786907151504	5244845	crlf	S - Boot Config @ 0x01b46070 = 0x00000041
line	112102	568	1786907151504	5244888	crlf	S - JTAG ID @ 0x01b46130 = 0x001c80e1
line	112103	568	1786907151504	5244927	crlf	S - OEM ID @ 0x01b46138 = 0x00000000
line	112104	568	1786907151504	5244965	crlf	S - Serial Number @ 0x01b46134 = 0xe1f9b69a
line	112105	568	1786907151545	5245012	crlf	S - OEM Config Row 0 @ 0x01b441b8 = 0x0000000000000000
line	112106	568	1786907151545	5245068	crlf	S - OEM Config Row 1 @ 0x01b441c0 = 0x0000000000000000
line	112107	568	1786907151545	5245124	crlf	S - Feature Config Row 0 @ 0x01b441d0 = 0x0050200016418000
line	112108	568	1786907151545	5245184	crlf	S - Feature Config Row 1 @ 0x01b441d8 = 0x0012008017830000
line	112109	568	1786907151545	5245244	crlf	S - Core 0 Frequency, 1305 MHz
line	112110	568	1786907151545	5245276	crlf	S - PBL Patch Ver: 1
line	112111	568	1786907151545	5245298	crlf	S - PBL freq: 0 MHZ
line	112112	568	1786907151545	5245319	crlf	D -      5505 - pbl_apps_init_timestamp
line	112113	568	1786907151545	5245360	crlf	D -   9509741 - bootable_media_detect_timestamp
line	112114	568	1786907151545	5245409	crlf	D -  10290765 - bl_elf_metadata_loading_timestamp
line	112115	568	1786907151545	5245460	crlf	D -       698 - bl_hash_seg_auth_timestamp
line	112116	568	1786907151586	5245506	crlf	D -     47968 - bl_elf_loadable_segment_loading_timestamp
line	112117	568	1786907151625	5245567	crlf	D -      4247 - bl_elf_segs_hash_verify_timestamp
line	112118	568	1786907151625	5245618	crlf	D -     17450 - bl_sec_hash_seg_auth_timestamp
line	112119	568	1786907151625	5245666	crlf	D -       850 - bl_sec_segs_hash_verify_timestamp
