#boots	id	seq	opened_by	opened_at	opened_offset	bytes	closed_at
boot	542	542	power	1786905439697	5024887	0	1786905441440
boot	543	543	session	1786905441440	5024889	2743	1786905495560
boot	544	544	session	1786905495560	5027652	17355	1786905553677
boot	545	545	session	1786905553677	5045118	0	1786905567256
boot	546	546	power	1786905567256	5027650	0	1786905579210
boot	547	547	power	1786905579210	5045118	19801	1786905816536
#lines	id	boot_id	ts_wall	stream_offset	terminator	text
line	106852	543	1786905454577	5024889	crlf	
line	106853	543	1786905454577	5024891	crlf	Format: Log Type - Time(microsec) - Message - Optional Info
line	106854	543	1786905454624	5024954	crlf	Log Type: B - Since Boot(Power On Reset),  D - Delta,  S - Statistic
line	106855	543	1786905454624	5025024	crlf	S - QC_IMAGE_VERSION_STRING=BOOT.XF.4.1.4-00004-KAMORTALAZ-3
line	106856	543	1786905454624	5025086	crlf	S - IMAGE_VARIANT_STRING=AgattiPkgLAA
line	106857	543	1786905454624	5025125	crlf	S - OEM_IMAGE_VERSION_STRING=crm-ubuntu02
line	106858	543	1786905454624	5025168	crlf	S - Boot Interface: USB
line	106859	543	1786905454624	5025193	crlf	S - Secure Boot: Off
line	106860	543	1786905454624	5025215	crlf	S - Boot Config @ 0x01b46070 = 0x00000041
line	106861	543	1786905454624	5025258	crlf	S - JTAG ID @ 0x01b46130 = 0x001c80e1
line	106862	543	1786905454624	5025297	crlf	S - OEM ID @ 0x01b46138 = 0x00000000
line	106863	543	1786905454624	5025335	crlf	S - Serial Number @ 0x01b46134 = 0xe1f9b69a
line	106864	543	1786905454624	5025380	crlf	S - OEM Config Row 0 @ 0x01b441b8 = 0x0000000000000000
line	106865	543	1786905454624	5025436	crlf	S - OEM Config Row 1 @ 0x01b441c0 = 0x0000000000000000
line	106866	543	1786905454624	5025492	crlf	S - Feature Config Row 0 @ 0x01b441d0 = 0x0050200016418000
line	106867	543	1786905454624	5025552	crlf	S - Feature Config Row 1 @ 0x01b441d8 = 0x0012008017830000
line	106868	543	1786905454624	5025612	crlf	S - Core 0 Frequency, 1305 MHz
line	106869	543	1786905454624	5025644	crlf	S - PBL Patch Ver: 1
line	106870	543	1786905454624	5025666	crlf	S - PBL freq: 0 MHZ
line	106871	543	1786905454624	5025687	crlf	D -      5505 - pbl_apps_init_timestamp
line	106872	543	1786905454624	5025728	crlf	D -   5528818 - bootable_media_detect_timestamp
line	106873	543	1786905454624	5025777	crlf	D -  17075280 - bl_elf_metadata_loading_timestamp
line	106874	543	1786905454663	5025830	crlf	D -       696 - bl_hash_seg_auth_timestamp
line	106875	543	1786905454702	5025876	crlf	D -     48552 - bl_elf_loadable_segment_loading_timestamp
line	106876	543	1786905454740	5025937	crlf	D -      4251 - bl_elf_segs_hash_verify_timestamp
line	106877	543	1786905454740	5025988	crlf	D -     17449 - bl_sec_hash_seg_auth_timestamp
line	106878	543	1786905454740	5026036	crlf	D -       850 - bl_sec_segs_hash_verify_timestamp
line	106879	543	1786905454740	5026087	crlf	D -        31 - pbl_populate_shared_data_and_exit_timestamp
line	106880	543	1786905454740	5026148	crlf	S -  22681432 - PBL, End
line	106881	543	1786905454740	5026174	crlf	B -  22698119 - SBL1, Start (MPM timestamp = 22687638)
