#boots	id	seq	opened_by	opened_at	opened_offset	bytes	closed_at
boot	473	473	power	1786889601328	4375012	23399	1786890396811
boot	474	474	session	1786890396811	4398602	0	1786891749016
boot	475	475	session	1786891749016	4398602	0	1786894145907
boot	476	476	session	1786894145907	4398602	0	1786894207026
boot	477	477	session	1786894207026	4398602	0	1786895260543
#lines	id	boot_id	ts_wall	stream_offset	terminator	text
line	91360	473	1786889585414	4375012	crlf	imestamp
line	91361	473	1786889585454	4375024	lf	D -     1436 ‘¥¹}Ñ¥µ•ÍÑ…µÁ5RF
line	91362	473	1786889585454	4375055	crlf	© ^R^R$$HHš˜43 - bl_elf_segs_hash_verify_timestamp
line	91363	473	1786889585454	4375105	crlf	D -     17451 - bl_sec_hash_seg_auth_timestamp
line	91364	473	1786889585454	4375153	crlf	D -       849 - bl_sec_segs_hash_verify_timestamp
line	91365	473	1786889585454	4375204	crlf	D -        32 - pbl_populate_shared_data_and_exit_timestamp
line	91366	473	1786889585454	4375265	crlf	S -    120861 - PBL, End
line	91367	473	1786889585454	4375291	crlf	B -    135098 - SBL1, Start (MPM timestamp = 140025)
line	91368	473	1786889585454	4375345	crlf	B -    248318 - SBL1 BUILD @ 23:11:42 on Apr  2 2026
line	91369	473	1786889585454	4375399	crlf	B -    253651 - usb: hs_phy_nondrive_start
line	91370	473	1786889585487	4375445	crlf	B -    258017 - usb: hs_phy_nondrive_finish
line	91371	473	1786889585487	4375490	crlf	D -      8527 - sbl1_hw_init
line	91372	473	1786889585487	4375520	crlf	D -        15 - boot_flash_init
line	91373	473	1786889585520	4375555	crlf	B -    291718 - SHRM Image Loaded, Start
line	91374	473	1786889585520	4375597	crlf	D -        37 - SHRM Image Loaded, Delta - (0 Bytes)
line	91375	473	1786889585554	4375653	crlf	B -    298097 - Using boot chain :: Primary
line	91376	473	1786889585554	4375698	crlf	D -      4695 - sbl1_update_partition_ids
line	91377	473	1786889585554	4375741	crlf	D -      1221 - Auth Metadata
line	91378	473	1786889585554	4375772	crlf	D -      7889 - sbl1_xblconfig_init
line	91379	473	1786889585554	4375809	crlf	D -       440 - sbl1_feature_config_init
line	91380	473	1786889585554	4375851	crlf	D -         2 - boot_config_data_table_default_init
line	91381	473	1786889585587	4375906	crlf	D -        17 - sbl1_ddr_set_default_params
line	91382	473	1786889585587	4375951	crlf	D -      4135 - boot_config_data_table_init
line	91383	473	1786889585587	4375996	crlf	B -    327611 - CDT Version:3,Platform ID:32,Major ID:1,Minor ID:0,Subtype:1
line	91384	473	1786889585587	4376074	crlf	D -      9483 - sbl1_hw_platform_pre_ddr
line	91385	473	1786889585587	4376116	crlf	D -      5126 - devcfg init
line	91386	473	1786889585642	4376147	crlf	B -    405514 - PM: PSI: b0x00_v0x14
line	91387	473	1786889585674	4376187	crlf	B -    409055 - PM: Device Init # SPMI Transn: 4094
line	91388	473	1786889585674	4376240	crlf	B -    412261 - PM: Driver Init # SPMI Transn: 237
line	91389	473	1786889585674	4376292	crlf	B -    413726 - PM: CHG Init # SPMI Transn: 4335
line	91390	473	1786889585674	4376342	crlf	D -     74758 - pmic XBL init
line	91391	473	1786889585674	4376373	crlf	D -     10400 - vsense_railway_cpr init
line	91392	473	1786889585674	4376414	crlf	D -     94836 - sbl1_hw_pre_ddr_init
line	91393	473	1786889585709	4376454	crlf	D -         3 - boot_dload_handle_forced_dload_timeout
line	91394	473	1786889585709	4376510	crlf	D -      2728 - sbl1_load_ddr_training_data
line	91395	473	1786889585709	4376555	crlf	D -      4975 - sbl1_ddr_set_params
line	91396	473	1786889585709	4376592	crlf	B -    451967 - DSF version = 20.0, DSF RPM version = 11.0
line	91397	473	1786889585742	4376654	crlf	B -    452004 - Manufacturer ID = 255, Device Type = 7
line	91398	473	1786889585742	4376710	crlf	B -    457227 - Rank 0 size = 2048 MB, Rank 1 size = 0 MB
line	91399	473	1786889585742	4376769	crlf	B -    462099 - Max Frequency = 1804 MHz
line	91400	473	1786889585742	4376811	crlf	B -    467236 - Row Hammer Check : DRAM supports unlimited MAC Value : MR24[OP2:0 = 0] & MR24[OP3 = 1] for CH0 & CS0
line	91401	473	1786889585742	4376929	crlf	D -     27910 - sbl1_ddr_init
line	91402	473	1786889585742	4376960	crlf	B -    481147 - do_ddr_training, Start
line	91403	473	1786889585742	4377000	crlf	B -    487476 - Bootup frequency set to 1804800
line	91404	473	1786889585742	4377049	crlf	D -      3677 - do_ddr_training, Delta
line	91405	473	1786889585742	4377089	crlf	D -     10628 - sbl1_do_ddr_training
line	91406	473	1786889585776	4377129	crlf	D -         2 - sbl1_hand_control_to_devprog_ddr_or_ddi
line	91407	473	1786889585776	4377186	crlf	B -    498572 - Pimem init cmd, entry
line	91408	473	1786889585776	4377225	crlf	D -      8551 - Pimem init cmd, exit
line	91409	473	1786889585776	4377263	crlf	D -     14240 - sbl1_post_ddr_init
line	91410	473	1786889585776	4377299	crlf	D -       273 - sbl1_hw_init_secondary
line	91411	473	1786889585776	4377339	crlf	B -    520963 - APDP Image Loaded, Start
line	91412	473	1786889585776	4377381	crlf	D -      1077 - APDP Image Loaded, Delta - (0 Bytes)
line	91413	473	1786889585776	4377435	crlf	D -         3 - boot_dload_dump_security_regions
line	91414	473	1786889585776	4377485	crlf	D -        14 - boot_dload_check
line	91415	473	1786889585776	4377519	crlf	D -         2 - boot_cache_set_memory_barrier
line	91416	473	1786889585776	4377566	crlf	D -         2 - boot_smem_debug_init
line	91417	473	1786889585776	4377604	crlf	D -       263 - boot_smem_init
line	91418	473	1786889585809	4377638	crlf	D -         3 - boot_smem_alloc_for_minidump
line	91419	473	1786889585855	4377686	crlf	D -        45 - boot_smem_store_pon_status
line	91420	473	1786889585855	4377730	crlf	D -        11 - sbl1_hw_platform_smem
line	91421	473	1786889585855	4377769	crlf	D -       106 - boot_clock_init_rpm
line	91422	473	1786889585855	4377806	crlf	D -         2 - boot_vsense_copy_to_smem
line	91423	473	1786889585855	4377848	crlf	D -         1 - boot_share_flash_data
line	91424	473	1786889585855	4377887	crlf	D -         7 - boot_populate_ram_partition_table
line	91425	473	1786889585855	4377938	crlf	D -         6 - boot_populate_ddr_details_shared_table
line	91426	473	1786889585855	4377994	crlf	D -         4 - sbl1_tlmm_init
line	91427	473	1786889585855	4378026	crlf	D -         2 - sbl1_efs_handle_cookies
line	91428	473	1786889585855	4378067	crlf	D -         1 - boot_apt_test
line	91429	473	1786889585855	4378098	crlf	B -    587452 - OEM_MISC Image Loaded, Start
line	91430	473	1786889585855	4378144	crlf	D -       683 - Auth Metadata
line	91431	473	1786889585855	4378175	crlf	D -       228 - Segments hash check
line	91432	473	1786889585855	4378212	crlf	D -      7136 - OEM_MISC Image Loaded, Delta - (7480 Bytes)
line	91433	473	1786889585855	4378273	crlf	B -    600225 - QTI_MISC Image Loaded, Start
line	91434	473	1786889585855	4378319	crlf	D -      2892 - QTI_MISC Image Loaded, Delta - (0 Bytes)
line	91435	473	1786889585855	4378377	crlf	B -    609175 - PM: PM Total Mem Allocated: 1249 
line	91436	473	1786889585855	4378428	crlf	D -      5044 - sbl1_pm_aop_pre_init_wrapper
line	91437	473	1786889585855	4378474	crlf	B -    616607 - RPM Image Loaded, Start
line	91438	473	1786889585855	4378515	crlf	D -       789 - Auth Metadata
line	91439	473	1786889585855	4378546	crlf	D -      1338 - Segments hash check
line	91440	473	1786889585855	4378583	crlf	D -     13978 - RPM Image Loaded, Delta - (220608 Bytes)
line	91441	473	1786889585890	4378643	crlf	B -    633817 - QSEE Dev Config Image Loaded, Start
line	91442	473	1786889585922	4378698	crlf	D -       875 - Auth Metadata
line	91443	473	1786889585922	4378729	crlf	D -       528 - Segments hash check
line	91444	473	1786889585922	4378766	crlf	D -     13140 - QSEE Dev Config Image Loaded, Delta - (45320 Bytes)
line	91445	473	1786889585922	4378835	crlf	B -    655731 - QSEE Image Loaded, Start
line	91446	473	1786889585922	4378877	crlf	D -     17655 - Auth Metadata
line	91447	473	1786889585965	4378910	crlf	D -     16384 - Segments hash check
line	91448	473	1786889585996	4378949	crlf	D -     88551 - QSEE Image Loaded, Delta - (3437540 Bytes)
line	91449	473	1786889585996	4379009	crlf	D -        47 - sbl1_hw_play_vibr
line	91450	473	1786889585996	4379044	crlf	B -    755149 - SEC Image Loaded, Start
line	91451	473	1786889585996	4379085	crlf	D -       625 - SEC Image Loaded, Delta - (0 Bytes)
